X,Y,Name,description,placepageUri
-103.407519,20.6840989,Colegio Los Altos,"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=20.6927&lng=-103.33800000000001&fid=0x8428ae8ad3f4e961:0x788fae871bc0df40&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"";</script></body></html>","https://www.google.com/earth/rpc/entity?lat=20.6927&lng=-103.33800000000001&fid=0x8428ae8ad3f4e961:0x788fae871bc0df40&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"
-103.3701461,20.7102398,COLLEGE OF COUNTRY LICEO,"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=20.6927&lng=-103.33800000000001&fid=0x8428ae2d56fe47b1:0x6a1281f042cc51ae&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"";</script></body></html>","https://www.google.com/earth/rpc/entity?lat=20.6927&lng=-103.33800000000001&fid=0x8428ae2d56fe47b1:0x6a1281f042cc51ae&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"
-103.3646736,20.6277805,Colegio Real Guadalajara,"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=20.6927&lng=-103.33800000000001&fid=0x8428ad85de6b485d:0x78b174457732b9bb&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"";</script></body></html>","https://www.google.com/earth/rpc/entity?lat=20.6927&lng=-103.33800000000001&fid=0x8428ad85de6b485d:0x78b174457732b9bb&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"
-103.3790453,20.6394255,Lopez de Legazpi school A.C.,"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=20.6927&lng=-103.33800000000001&fid=0x8428ad9529b01539:0x13da63c56210dd75&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"";</script></body></html>","https://www.google.com/earth/rpc/entity?lat=20.6927&lng=-103.33800000000001&fid=0x8428ad9529b01539:0x13da63c56210dd75&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"
-103.4497574,20.5772043,"Colegio Finlandés campus López Mateos, Tlajomulco","<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=20.6927&lng=-103.33800000000001&fid=0x86a28e98ea321735:0xb35bde4d62b54e0d&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"";</script></body></html>","https://www.google.com/earth/rpc/entity?lat=20.6927&lng=-103.33800000000001&fid=0x86a28e98ea321735:0xb35bde4d62b54e0d&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"
-103.3182624,20.6305505,Colegio San Pedro Tlaquepaque,"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=20.6927&lng=-103.33800000000001&fid=0x8428b251888dcc43:0x48e8a634a8ff6b&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"";</script></body></html>","https://www.google.com/earth/rpc/entity?lat=20.6927&lng=-103.33800000000001&fid=0x8428b251888dcc43:0x48e8a634a8ff6b&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"
-103.4181348,20.6215694,Colegio Bécquer,"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=20.6927&lng=-103.33800000000001&fid=0x8428ac5a5d0c0001:0xd8068e5b471be41e&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"";</script></body></html>","https://www.google.com/earth/rpc/entity?lat=20.6927&lng=-103.33800000000001&fid=0x8428ac5a5d0c0001:0xd8068e5b471be41e&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"
-103.3424689,20.7150033,Colegio Nuevo Mexico,"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=20.6927&lng=-103.33800000000001&fid=0x8428b033722f5c05:0x2f4876b1794b5cf6&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"";</script></body></html>","https://www.google.com/earth/rpc/entity?lat=20.6927&lng=-103.33800000000001&fid=0x8428b033722f5c05:0x2f4876b1794b5cf6&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"
-103.3736492,20.723147,Colegio Libertad,"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=20.6927&lng=-103.33800000000001&fid=0x8428af60bf66a65f:0xe3292deb2fa5289&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"";</script></body></html>","https://www.google.com/earth/rpc/entity?lat=20.6927&lng=-103.33800000000001&fid=0x8428af60bf66a65f:0xe3292deb2fa5289&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"
-103.336889,20.7039997,Jardines Alcalde,"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=20.6927&lng=-103.33800000000001&fid=0x8428b1c83a93fd0b:0x438191d0b5633306&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"";</script></body></html>","https://www.google.com/earth/rpc/entity?lat=20.6927&lng=-103.33800000000001&fid=0x8428b1c83a93fd0b:0x438191d0b5633306&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"
