X,Y,Name,description,placepageUri
-103.3519625,20.7683869,Tienda De Don Valente,"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428baae6f6bf175:0x26449feb26bd37a&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"";</script></body></html>","https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428baae6f6bf175:0x26449feb26bd37a&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"
-103.2962312,20.6859404,Grocery stores,"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428b16eb91f214d:0x9ff2d0bf816dc65c&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"";</script></body></html>","https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428b16eb91f214d:0x9ff2d0bf816dc65c&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"
-103.3614858,20.7044889,Tienda,"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428ae299db661ad:0xe47497be7598ecaf&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"";</script></body></html>","https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428ae299db661ad:0xe47497be7598ecaf&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"
-103.404182,20.7228536,TIENDA DE ABARROTES,"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428afa77760c2d3:0x63618a27d0406ab&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"";</script></body></html>","https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428afa77760c2d3:0x63618a27d0406ab&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"
-103.3384568,20.725417,Convenience store,"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428b0382d245573:0xc85dde1b41abf4c1&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"";</script></body></html>","https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428b0382d245573:0xc85dde1b41abf4c1&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"
-103.4690538,20.6413552,Abarrotes La Tienda Azul,"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428abe92901d279:0xe10523c4e34e23e5&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"";</script></body></html>","https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428abe92901d279:0xe10523c4e34e23e5&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"
-103.3338464,20.7337455,tienda de abarrotes patty,"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428b161983c5cb5:0xd99c11c313f1de8c&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"";</script></body></html>","https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428b161983c5cb5:0xd99c11c313f1de8c&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"
-103.4574368,20.6385798,Tienda 7,"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428abff1239996b:0xb585533151368f6e&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"";</script></body></html>","https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428abff1239996b:0xb585533151368f6e&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"
-103.2990625,20.6759334,Grocery stores,"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428b1649a4f6d35:0x68a70cc17fc4e6d6&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"";</script></body></html>","https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428b1649a4f6d35:0x68a70cc17fc4e6d6&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"
-103.3213899,20.6529124,Tienda de abarrotes,"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428b3c11915e19f:0x9f2e72b06167b0e9&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"";</script></body></html>","https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428b3c11915e19f:0x9f2e72b06167b0e9&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"
