X,Y,Name,description,placepageUri
-103.2859292,20.6709249,Abarrotes,"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428b15f7b7a3eef:0x6f1b4dca7bbfdcad&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"";</script></body></html>","https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428b15f7b7a3eef:0x6f1b4dca7bbfdcad&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"
-103.3677843,20.7215791,Tienda Paco El Chato,"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428afd064719d05:0x50cd179e2e7caf64&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"";</script></body></html>","https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428afd064719d05:0x50cd179e2e7caf64&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"
-103.353804,20.7070664,Grocery stores,"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428b1d411b1ceb9:0x212157c0ce56b4ec&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"";</script></body></html>","https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428b1d411b1ceb9:0x212157c0ce56b4ec&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"
-103.434424,20.6680999,Tienda de abarrotes,"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428aea48593100b:0x423cc4d1f36b082c&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"";</script></body></html>","https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428aea48593100b:0x423cc4d1f36b082c&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"
-103.2921228,20.6711516,Grocery stores,"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428b1603478c30f:0x9a2f538ff2df2fc2&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"";</script></body></html>","https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428b1603478c30f:0x9a2f538ff2df2fc2&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"
-103.3334081,20.7223431,Tienda La Barca,"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428b0484d64ec8b:0x80c93125309e3633&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"";</script></body></html>","https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428b0484d64ec8b:0x80c93125309e3633&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"
-103.3693341,20.6504792,grocery stores,"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428adf03c772aad:0x7674640346840b1c&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"";</script></body></html>","https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428adf03c772aad:0x7674640346840b1c&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"
-103.351856,20.6672461,Tienda Abarrotes Bruma,"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428b1eb8be0a8eb:0xe9d7950098f6280d&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"";</script></body></html>","https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428b1eb8be0a8eb:0xe9d7950098f6280d&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"
-103.3601879,20.6194977,Tienda de abarrotes Ortiz,"<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428ad945949f4a5:0xece1f4ce2f85654c&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"";</script></body></html>","https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428ad945949f4a5:0xece1f4ce2f85654c&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"
-103.4205169,20.7285255,"TIENDA DE ABARROTES, SUPER, CERVEZA","<!DOCTYPE html><html><head></head><body><script type=""text/javascript"">window.location.href=""https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428af259bff30e7:0x68ce1174aaeeeb2e&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"";</script></body></html>","https://www.google.com/earth/rpc/entity?lat=20.6717&lng=-103.333&fid=0x8428af259bff30e7:0x68ce1174aaeeeb2e&hl=en&gl=us&client=earth-client&cv=7.3.6.9796&useragent=GoogleEarth/7.3.6.9796(X11;Linux (5.15.0.0);en;kml:2.2;client:Pro;type:default)"
